antecedents,consequents,support,confidence,lift,leverage,conviction
"Depth_Crust, DAVAO OCCIDENTAL, Time_Afternoon",Magnitude_Moderate,0.00012689090101603357,0.022012578616352203,6.0565331953136035,0.00010593982274666675,1.018791714764409
"DAVAO OCCIDENTAL, Time_Afternoon","Magnitude_Moderate, Depth_Crust",0.00012689090101603357,0.010638297872340425,5.988438992618324,0.00010570158921500392,1.0089571137017517
"DAVAO OCCIDENTAL, Time_Afternoon",Magnitude_Moderate,0.00021752725888462898,0.0182370820668693,5.017744392817349,0.00017417565667946118,1.0148738191773232
DAVAO OCCIDENTAL,Magnitude_Strong,0.00015408180837661218,0.002352941176470588,4.807450980392157,0.00012203118341859269,1.0018678999025745
"DAVAO OCCIDENTAL, Depth_Crust","Time_Night, Magnitude_Moderate",0.00014501817258975264,0.004696213677722336,4.505547402406809,0.00011283159021969796,1.0036711360013357
"DAVAO OCCIDENTAL, Depth_Crust","Magnitude_Moderate, Time_Afternoon",0.00012689090101603357,0.004109186968007044,4.401657353079468,9.806291854546286e-05,1.0031887355927025
DAVAO OCCIDENTAL,"Time_Night, Magnitude_Moderate, Depth_Crust",0.00014501817258975264,0.0022145328719723185,4.286519759606629,0.0001111869573562876,1.0017016740452318
DAVAO OCCIDENTAL,"Time_Night, Magnitude_Moderate",0.0002900363451795053,0.004429065743944637,4.249245674740485,0.00022178038462076005,1.003401814488474
DAVAO OCCIDENTAL,"Depth_Crust, Magnitude_Moderate, Time_Afternoon",0.00012689090101603357,0.0019377162629757787,4.19196417667413,9.66208663334596e-05,1.0014783354324555
"DAVAO OCCIDENTAL, Time_Morning",Magnitude_Moderate,0.00017220907995033129,0.014604150653343582,4.01818091205499,0.00012935160694962968,1.011132209162527
"Time_Night, DAVAO OCCIDENTAL, Depth_Crust",Magnitude_Moderate,0.00014501817258975264,0.013937282229965157,3.834698966868543,0.00010720081747460627,1.0104483863893912
"DAVAO OCCIDENTAL, Depth_Crust",Magnitude_Moderate,0.00040786361040867934,0.013208100968594072,3.6340722891919017,0.0002956303971009235,1.0097017243731534
"Time_Night, DAVAO OCCIDENTAL","Magnitude_Moderate, Depth_Crust",0.00014501817258975264,0.006377042646472698,3.589721899122343,0.00010462000898125462,1.004630096354156
DAVAO OCCIDENTAL,"Magnitude_Moderate, Time_Afternoon",0.00021752725888462898,0.0033217993079584776,3.558227567440454,0.00015639365942766585,1.0023962045324697
"Time_Night, DAVAO OCCIDENTAL",Magnitude_Moderate,0.0002900363451795053,0.012754085292945395,3.5091545747031385,0.00020738500024579252,1.0092373816964548
DAVAO OCCIDENTAL,"Magnitude_Moderate, Depth_Crust",0.00040786361040867934,0.006228373702422146,3.506034178377234,0.00029153171241290486,1.0044798029752406
DAVAO OCCIDENTAL,Magnitude_Moderate,0.0008247908566042182,0.01259515570934256,3.465426744557292,0.0005867852897863326,1.0090749380161783
"Depth_Surface, DAVAO OCCIDENTAL",Magnitude_Moderate,0.0002719090736057862,0.012432656444260257,3.4207167534954577,0.00019242015558065709,1.008908899784041
DAVAO OCCIDENTAL,"Depth_Surface, Magnitude_Moderate",0.0002719090736057862,0.004152249134948097,3.181401384083045,0.00018644074038440088,1.00285895668205
DAVAO OCCIDENTAL,"Magnitude_Moderate, Time_Morning",0.00017220907995033129,0.0026297577854671283,3.0541453287197236,0.00011582372122788956,1.0017733759348868
DAVAO OCCIDENTAL,"Magnitude_Moderate, Time_Evening",0.00014501817258975264,0.0022145328719723185,2.7764957533815666,9.278752451001716e-05,1.0014200777315458
"Depth_Interface, Time_Afternoon",Magnitude_Moderate,0.00018127271573719082,0.008944543828264758,2.460998666125384,0.00010761452232476284,1.005357950299013
"Time_Morning, DAVAO ORIENTAL",Magnitude_Moderate,0.00012689090101603357,0.008013737836290785,2.2048970304633384,6.934131966920366e-05,1.0044145973112653
Time_Afternoon,"Depth_Interface, Magnitude_Moderate",0.00018127271573719082,0.001040582726326743,2.1661987316670923,9.759031250834e-05,1.0005607935817376
"Time_Evening, DAVAO OCCIDENTAL",Magnitude_Moderate,0.00014501817258975264,0.007622677465459742,2.0973008165626905,7.587302591144928e-05,1.0040187934814384
"Time_Afternoon, DAVAO ORIENTAL",Magnitude_Moderate,0.00010876362944231449,0.007228915662650603,1.9889613316107324,5.407999748138853e-05,1.0036205705109946
"SURIGAO DEL SUR, Depth_Crust","Magnitude_Moderate, Time_Evening",0.00010876362944231449,0.0015444015444015444,1.9363109863109862,5.2593091645837704e-05,1.0007479567407034
SURIGAO DEL SUR,"Magnitude_Moderate, Time_Evening, Depth_Crust",0.00010876362944231449,0.0007534375588623093,1.9331981234148243,5.250264505329951e-05,1.000363975452804
"Depth_Crust, Time_Afternoon","Magnitude_Moderate, DAVAO OCCIDENTAL",0.00012689090101603357,0.0015344147303814116,1.8603682595352915,5.868349080805134e-05,1.0007107144044285
DAVAO ORIENTAL,"Magnitude_Moderate, Time_Morning",0.00012689090101603357,0.0015630233337054816,1.8152623940111525,5.698866460400443e-05,1.0007030768594907
Time_Afternoon,"Magnitude_Moderate, DAVAO OCCIDENTAL, Depth_Crust",0.00012689090101603357,0.00072840790842872,1.7859105098855357,5.583980393493381e-05,1.0003207779552195
DAVAO ORIENTAL,"Time_Night, Magnitude_Moderate",0.00014501817258975264,0.0017863123813776933,1.713788098693759,6.039967588045423e-05,1.0007453256503263
Time_Morning,Magnitude_Strong,0.00015408180837661218,0.0008301997362894954,1.696236427862154,6.324434854749587e-05,1.0003410465405471
"Depth_Surface, DAVAO ORIENTAL",Magnitude_Moderate,0.00017220907995033129,0.006117192530585963,1.6830822171872317,6.98913926788638e-05,1.0024979550520414
CAGAYAN,Magnitude_Moderate,0.00016314544416347175,0.0060790273556231,1.6725814642724497,6.560433920184417e-05,1.0024594605329522
"SURIGAO DEL SUR, Time_Morning",Magnitude_Moderate,0.00017220907995033129,0.006068348770360907,1.6696433620515942,6.906784400475346e-05,1.0024486903267635
Depth_Interface,"Magnitude_Moderate, Time_Afternoon",0.00018127271573719082,0.0015559358954411078,1.666679255144785,7.25099077898131e-05,1.000623351304064
DAVAO ORIENTAL,Magnitude_Moderate,0.00048037269670355565,0.005917159763313609,1.6280452714367926,0.00018531167774330637,1.0022962289664303
DAVAO ORIENTAL,"Depth_Surface, Magnitude_Moderate",0.00017220907995033129,0.002121245952886011,1.6252721335268503,6.625200580999238e-05,1.0008178171909847
"Depth_Crust, Time_Afternoon",Magnitude_Moderate,0.00046224542512983657,0.005589653660675142,1.5379353566981275,0.00016168310102653027,1.0019661256717025
Time_Morning,"Magnitude_Moderate, SURIGAO DEL SUR",0.00017220907995033129,0.0009278702935000244,1.5279530948082267,5.950334275494623e-05,1.00032090445349
Time_Morning,"Magnitude_Moderate, LOC_OTHER",0.0001993999873109099,0.0010743761293158178,1.519705034917224,6.819032311329744e-05,1.0003678077017557
Time_Afternoon,"Magnitude_Moderate, DAVAO OCCIDENTAL",0.00021752725888462898,0.0012486992715920915,1.5139586740002973,7.384615145396059e-05,1.0004244384109224
"Time_Evening, SURIGAO DEL SUR, Depth_Crust",Magnitude_Moderate,0.00010876362944231449,0.005471956224350205,1.5055521251590587,3.652193974935629e-05,1.0018475479754636
"Time_Evening, SURIGAO DEL SUR","Magnitude_Moderate, Depth_Crust",0.00010876362944231449,0.00267379679144385,1.505115682636691,3.650099162846869e-05,1.0008997298720645
Time_Afternoon,"Magnitude_Moderate, Depth_Crust",0.00046224542512983657,0.0026534859521331945,1.4936824417592218,0.0001527784245099354,1.0008793466719499
Depth_Crust,"SURIGAO DEL SUR, Magnitude_Moderate, Time_Evening",0.00010876362944231449,0.00023013635579080603,1.493598486515025,3.594377161285868e-05,1.0000760720543596
Time_Afternoon,Magnitude_Moderate,0.0009335544860465327,0.005359001040582726,1.4744736753329994,0.00030041026539051044,1.0017337743888057
"Depth_Interface, Time_Morning",Magnitude_Moderate,0.00011782726522917403,0.005354200988467874,1.4731529906699479,3.7844217999578715e-05,1.0017289401308949
"Time_Night, DAVAO ORIENTAL",Magnitude_Moderate,0.00014501817258975264,0.005220228384991843,1.43629181532303,4.40511051438261e-05,1.001594031643694
DAVAO ORIENTAL,"Magnitude_Moderate, Time_Afternoon",0.00010876362944231449,0.00133973428603327,1.4350895486634632,3.297488891137764e-05,1.0004067247030164
Time_Morning,"Magnitude_Moderate, DAVAO ORIENTAL",0.00012689090101603357,0.0006836939004737022,1.423257202512529,3.773561636893792e-05,1.000203460308342
Depth_Crust,"Time_Evening, Magnitude_Moderate, LOC_OTHER",0.00012689090101603357,0.0002684924150892737,1.4106207928197456,3.693695899141167e-05,1.0000781770535112
SURIGAO DEL SUR,"Magnitude_Moderate, Time_Morning",0.00017220907995033129,0.0011929428015319899,1.3854586551139576,4.79115563001819e-05,1.0003322938092882
Time_Morning,"Depth_Surface, Magnitude_Moderate",0.00033535452411380303,0.0018069053083947845,1.3844282609757288,9.312129790282618e-05,1.000502649996033
"SURIGAO DEL SUR, Time_Afternoon",Magnitude_Moderate,0.0001359545368028931,0.005030181086519115,1.3840022679719213,3.772165095501286e-05,1.0014027190669084
DAVAO ORIENTAL,"Magnitude_Moderate, Depth_Crust",0.0001993999873109099,0.0024561795243943285,1.3826160362548503,5.518063639767086e-05,1.0006813805030097
"SURIGAO DEL SUR, Depth_Crust",Magnitude_Moderate,0.0003534817956875221,0.005019305019305019,1.3810098306357659,9.752286777403135e-05,1.00139177280098
SURIGAO DEL SUR,"Magnitude_Moderate, Depth_Crust",0.0003534817956875221,0.0024486720663025054,1.3783899885062334,9.70363784724771e-05,1.0006738494884975
"Depth_Crust, DAVAO ORIENTAL",Magnitude_Moderate,0.0001993999873109099,0.004990925589836661,1.3732015243198719,5.419188509177641e-05,1.0013632113255952
SURIGAO DEL SUR,"Magnitude_Moderate, Time_Evening",0.00015408180837661218,0.001067369875054938,1.3382271100532543,3.8943049627000124e-05,1.0002700581777748
"Depth_Crust, LOC_OTHER","Time_Evening, Magnitude_Moderate",0.00012689090101603357,0.001061812665908229,1.331259695935464,3.157448649266853e-05,1.000264493559276
"Depth_Surface, Time_Morning",Magnitude_Moderate,0.00033535452411380303,0.0048133211916222204,1.3243355122016738,8.212977779835856e-05,1.0011845046423884
Time_Morning,"Depth_Interface, Magnitude_Moderate",0.00011782726522917403,0.0006348586218684378,1.3215959737616343,2.8671980582078383e-05,1.0001545840641908
"Time_Evening, Depth_Crust","Magnitude_Moderate, LOC_OTHER",0.00012689090101603357,0.0009323388385721896,1.318793287160362,3.067347084602093e-05,1.000225585569385
"Time_Evening, Depth_Crust","Magnitude_Moderate, SURIGAO DEL SUR",0.00010876362944231449,0.0007991475759190197,1.3159813611749456,2.6115324039867736e-05,1.0001920374444577
EASTERN SAMAR,Magnitude_Moderate,0.00010876362944231449,0.004724409448818898,1.2998723663282739,2.5091084152704886e-05,1.0010950650338812
Time_Afternoon,"Magnitude_Moderate, DAVAO ORIENTAL",0.00010876362944231449,0.0006243496357960458,1.2997192390002552,2.5081226213463664e-05,1.000144066887201
Time_Afternoon,"Magnitude_Moderate, SURIGAO DEL SUR",0.0001359545368028931,0.0007804370447450572,1.2851701430412972,3.0167347815477914e-05,1.000173308703558
LOC_OTHER,"Time_Evening, Magnitude_Moderate, Depth_Crust",0.00012689090101603357,0.0005008765339343851,1.2851676480352243,2.8155999612294148e-05,1.0001111958905116
"Time_Morning, Depth_Crust",Magnitude_Moderate,0.00040786361040867934,0.004666113645790128,1.2838328794355878,9.017147388387821e-05,1.0010364318038423
Time_Morning,Magnitude_Moderate,0.0008610453997516564,0.004639351467500123,1.2764695430442794,0.00018649315176136674,1.0010095170212434
"Time_Morning, LOC_OTHER",Magnitude_Moderate,0.0001993999873109099,0.0045473336089293095,1.2511517815630415,4.002684789707872e-05,1.0009169854973696
Time_Afternoon,"Magnitude_Moderate, LOC_OTHER",0.00015408180837661218,0.0008844953173777314,1.251118626430801,3.092657343603926e-05,1.0001776888909948
Time_Morning,"Magnitude_Moderate, Depth_Crust",0.00040786361040867934,0.0021975875372369,1.2370511763820633,7.815727473262752e-05,1.0004220423981267
Depth_Crust,"Magnitude_Moderate, DAVAO OCCIDENTAL, Time_Afternoon",0.00012689090101603357,0.0002684924150892737,1.2342931937172774,2.4086395845037114e-05,1.0000509788436376
Depth_Crust,"Magnitude_Moderate, SURIGAO DEL SUR",0.0003534817956875221,0.0007479431563201197,1.2316614385067928,6.648588541849034e-05,1.0001407848576713
Time_Afternoon,"Depth_Surface, Magnitude_Moderate",0.0002719090736057862,0.0015608740894901144,1.1959222164412069,4.454556294626697e-05,1.0002561102921013
Depth_Interface,"Magnitude_Moderate, Time_Morning",0.00011782726522917403,0.0010113583320367201,1.174570275073088,1.7512054015573214e-05,1.0001504651064241
Depth_Crust,"Magnitude_Moderate, LOC_OTHER",0.00038973633883496026,0.000824655274917055,1.1664748863701744,5.562169702922178e-05,1.0001177888187127
SURIGAO DEL SUR,Magnitude_Moderate,0.0006072635977195892,0.004206693036981227,1.1574280535241293,8.259720841737983e-05,1.0005745922195395
"Depth_Surface, Time_Afternoon",Magnitude_Moderate,0.0002719090736057862,0.004156275976724855,1.143556321167157,3.413410041665154e-05,1.0005239356473385
Depth_Interface,Magnitude_Moderate,0.00048037269670355565,0.004123230122918936,1.1344640964882022,5.693691042298803e-05,1.0004907355881476
Time_Evening,"Magnitude_Moderate, Depth_Crust, LOC_OTHER",0.00012689090101603357,0.0004407921664934983,1.1310009423580039,1.4697448063217292e-05,1.0000510783425918
Time_Morning,"Magnitude_Moderate, DAVAO OCCIDENTAL",0.00017220907995033129,0.0009278702935000244,1.124976454419244,1.913113838645009e-05,1.000103175170071
SURIGAO DEL SUR,"Depth_Surface, Magnitude_Moderate",0.00020846362309776944,0.0014440886544860928,1.106442675959063,2.0054745143858788e-05,1.000139126011473
Time_Evening,"Magnitude_Moderate, SURIGAO DEL SUR, Depth_Crust",0.00010876362944231449,0.00037782185699442716,1.0688580334372344,7.006776764178796e-06,1.00002434926099
Depth_Crust,"Time_Night, Magnitude_Moderate, DAVAO OCCIDENTAL",0.00014501817258975264,0.00030684847438774136,1.0579655946148092,7.945499028424058e-06,1.0000168172895678
"Time_Night, Depth_Crust","Magnitude_Moderate, DAVAO OCCIDENTAL",0.00014501817258975264,0.0008715071626994934,1.0566401842615145,7.77356013815844e-06,1.0000467570552036
Depth_Crust,"Time_Night, Magnitude_Moderate",0.0005166272398509939,0.0010931476900063288,1.0487658937920719,2.4022319239969158e-05,1.0000508851995558
Depth_Crust,"Magnitude_Moderate, Time_Afternoon",0.00046224542512983657,0.0009780795121109257,1.0476940839874809,2.1042757104310105e-05,1.0000445686177164
Depth_Crust,"Magnitude_Moderate, DAVAO OCCIDENTAL",0.00040786361040867934,0.0008630113342155227,1.0463395990695916,1.806319496865116e-05,1.0000382534908074
"Time_Evening, SURIGAO DEL SUR",Magnitude_Moderate,0.00015408180837661218,0.0037878787878787876,1.0421956472455225,6.238350400325634e-06,1.0001539439584026
"Depth_Surface, SURIGAO DEL SUR",Magnitude_Moderate,0.00020846362309776944,0.003779786359901397,1.0399690994371098,8.011875819314955e-06,1.0001458195762158
Depth_Surface,"Magnitude_Moderate, Time_Morning",0.00033535452411380303,0.0008915877491023881,1.0354712415391114,1.148794949475682e-05,1.000030569604836
Depth_Crust,Magnitude_Moderate,0.00177647261422447,0.003758893811249832,1.0342207308952749,5.878067365907105e-05,1.0001248451403446
Depth_Crust,"Time_Evening, Magnitude_Moderate",0.00038973633883496026,0.000824655274917055,1.0339209220099272,1.2786486541306629e-05,1.0000270776554048
Depth_Surface,Magnitude_Strong,0.00019033635152405036,0.0005060362900310852,1.0339164799151788,6.243772266908314e-06,1.0000166083619746
Depth_Surface,"Time_Evening, Magnitude_Moderate",0.00030816361675322436,0.0008192968505265186,1.0272027365391059,8.160895000844707e-06,1.0000217146920616
"Time_Afternoon, LOC_OTHER",Magnitude_Moderate,0.00015408180837661218,0.0037288879140162314,1.0259649188062963,3.899472165852286e-06,1.0000947231755901
Time_Night,"Magnitude_Moderate, DAVAO OCCIDENTAL, Depth_Crust",0.00014501817258975264,0.0004115967380958506,1.0091528824634064,1.3152955432598921e-06,1.0000037346648631
SURIGAO DEL SUR,"Magnitude_Moderate, Time_Afternoon",0.0001359545368028931,0.0009417969485778865,1.0088291178014253,1.1898532664153603e-06,1.0000082502325753
Depth_Crust,"Magnitude_Moderate, Time_Morning",0.00040786361040867934,0.0008630113342155227,1.0022831948982402,9.291107734850476e-07,1.0000019676325531
Time_Night,"Magnitude_Moderate, DAVAO OCCIDENTAL",0.0002900363451795053,0.0008231934761917011,0.998063290348424,-5.628061811800396e-07,0.999998401303551
Depth_Surface,"Time_Night, Magnitude_Moderate",0.00038973633883496026,0.0010361695462541265,0.994101062676209,-2.3126725459903896e-06,0.9999938450531968
Depth_Crust,Magnitude_Strong,0.00022659089467148852,0.00047945074123084593,0.9795977727914901,-4.719241963253477e-06,0.9999900096188447
"Time_Evening, Depth_Crust, LOC_OTHER",Magnitude_Moderate,0.00012689090101603357,0.0035335689045936395,0.9722249147449398,-3.625092856971617e-06,0.9998986929787228
SURIGAO DEL SUR,"Time_Night, Magnitude_Moderate",0.00014501817258975264,0.0010045834118164124,0.9637973252966661,-5.44725077621764e-06,0.9999622273505505
"Time_Evening, LOC_OTHER","Magnitude_Moderate, Depth_Crust",0.00012689090101603357,0.0016982047549733137,0.9559419837804116,-5.848222454854317e-06,0.9999215989997975
Depth_Surface,Magnitude_Moderate,0.001305163553307774,0.0034699631316417266,0.9547244445814548,-6.189430376841044e-05,0.9998348721937111
Depth_Surface,"Magnitude_Moderate, DAVAO ORIENTAL",0.00017220907995033129,0.00045784235764717227,0.9530982105956635,-8.474377468715532e-06,0.9999774593408751
LOC_OTHER,"Time_Evening, Magnitude_Moderate",0.00019033635152405036,0.0007513148009015778,0.9419694692985452,-1.1725772278951238e-05,0.9999536800507945
Time_Evening,"Magnitude_Moderate, LOC_OTHER",0.00019033635152405036,0.0006611882497402475,0.93525077925758,-1.3177353832221023e-05,0.9999541943722224
LOC_OTHER,"Magnitude_Moderate, Time_Morning",0.0001993999873109099,0.0007870916961826053,0.9141117255949792,-1.873525997642139e-05,0.9999259880422336
Depth_Surface,"Magnitude_Moderate, SURIGAO DEL SUR",0.00020846362309776944,0.0005542302224149979,0.912668278645808,-1.994754005461052e-05,0.9999469372156966
Time_Evening,Magnitude_Strong,0.00012689090101603357,0.0004407921664934983,0.9006118615072993,-1.4003202692154302e-05,0.9999513343825801
OCCIDENTAL MINDORO,Magnitude_Moderate,0.00015408180837661218,0.0032730073161340006,0.9005340902652879,-1.7018664156550115e-05,0.9996373022532246
"Depth_Crust, LOC_OTHER",Magnitude_Moderate,0.00038973633883496026,0.003261281759575275,0.8973079247274306,-4.460323189082815e-05,0.9996255425979496
Time_Evening,"Magnitude_Moderate, SURIGAO DEL SUR",0.00015408180837661218,0.0005352476307421051,0.8814090499613015,-2.0731246224287584e-05,0.9999279454660039
Depth_Crust,"Magnitude_Moderate, DAVAO ORIENTAL",0.0001993999873109099,0.0004219166522831444,0.878311059680219,-2.7626628275040577e-05,0.9999415192815907
Depth_Surface,"Magnitude_Moderate, DAVAO OCCIDENTAL",0.0002719090736057862,0.000722908985758693,0.8764755088762897,-3.832101366087908e-05,0.9998980444245528
LOC_OTHER,"Magnitude_Moderate, Depth_Crust",0.00038973633883496026,0.001538406497084183,0.8659894246418113,-6.031111872627058e-05,0.9997615670761004
Time_Night,"Magnitude_Moderate, DAVAO ORIENTAL",0.00014501817258975264,0.0004115967380958506,0.8568279190727036,-2.4231882598338807e-05,0.9999311957217759
"Time_Night, Depth_Crust",Magnitude_Moderate,0.0005166272398509939,0.0031047442671169457,0.8542382537039396,-8.815396446866855e-05,0.9994685763821554
Depth_Surface,"Magnitude_Moderate, LOC_OTHER",0.00022659089467148852,0.0006024241547989108,0.8521289669630593,-3.932060869993889e-05,0.9998953975483804
Time_Night,"Depth_Surface, Magnitude_Moderate",0.00038973633883496026,0.0011061662336325985,0.8475307411313765,-7.011286771381654e-05,0.9998007823124456
"Time_Night, SURIGAO DEL SUR",Magnitude_Moderate,0.00014501817258975264,0.003004130679684566,0.8265554663847328,-3.0430636942712215e-05,0.9993677132571512
Time_Night,"Magnitude_Moderate, Depth_Crust",0.0005166272398509939,0.001466313379466468,0.8254072523975249,-0.00010927862461817454,0.9996893853067614
Time_Evening,"Depth_Surface, Magnitude_Moderate",0.00030816361675322436,0.0010704952614842102,0.8202000881584333,-6.755399313527669e-05,0.9997650802276733
Time_Night,Magnitude_Moderate,0.0010423181154888472,0.0029583515550639264,0.8139598140193468,-0.00023823418885878813,0.9993218273313644
"Time_Night, Depth_Surface",Magnitude_Moderate,0.00038973633883496026,0.002939768920489506,0.8088469944302437,-9.210551941351202e-05,0.999303202546461
"Time_Evening, Depth_Crust",Magnitude_Moderate,0.00038973633883496026,0.002863612147043154,0.787893246372614,-0.00010491993678266883,0.9992268802814954
"Depth_Surface, Time_Evening",Magnitude_Moderate,0.00030816361675322436,0.002841146486170301,0.7817120522834302,-8.605266256990875e-05,0.9992043680286599
Depth_Surface,"Magnitude_Moderate, Time_Afternoon",0.0002719090736057862,0.000722908985758693,0.7743618573567218,-7.923047571802179e-05,0.9997892021120248
LOC_OTHER,Magnitude_Moderate,0.0007069635913750442,0.002790597831920146,0.7678041132009518,-0.00021379676822726992,0.9991537182493709
Time_Evening,Magnitude_Moderate,0.0007975999492436396,0.0027706936179591325,0.7623276747208206,-0.00024866922829308883,0.9991337756250811
Time_Evening,"Magnitude_Moderate, Depth_Crust",0.00038973633883496026,0.0013538616542300307,0.7621066845553751,-0.00012165707462438827,0.9995768161075609
"Time_Evening, LOC_OTHER",Magnitude_Moderate,0.00019033635152405036,0.002547307132459971,0.7008651950908754,-8.123705925057228e-05,0.9989100126493767
LOC_OTHER,"Depth_Surface, Magnitude_Moderate",0.00022659089467148852,0.0008944223820256879,0.6852952488283066,-0.00010405621700615051,0.9995888911237375
Time_Night,Magnitude_Strong,0.00011782726522917403,0.0003344223497028786,0.6832805975012648,-5.4616187226617246e-05,0.9998449341597297
Time_Night,"Magnitude_Moderate, SURIGAO DEL SUR",0.00014501817258975264,0.0004115967380958506,0.6777892494157207,-6.893944434613656e-05,0.9998042525713732
"Depth_Surface, LOC_OTHER",Magnitude_Moderate,0.00022659089467148852,0.0024378352023403218,0.6707451264573817,-0.00011122877144856914,0.9988003928071659
Time_Night,"Magnitude_Moderate, LOC_OTHER",0.00016314544416347175,0.00046304633035783196,0.6549790342911532,-8.59395427171157e-05,0.9997559697416672
LOC_OTHER,"Magnitude_Moderate, Time_Afternoon",0.00015408180837661218,0.0006082072197774676,0.6514962210220173,-8.242272289281016e-05,0.9996744547347504
LOC_OTHER,"Time_Night, Magnitude_Moderate",0.00016314544416347175,0.0006439841150584953,0.6178383599871203,-0.00010091301307908718,0.9996014093134992
Time_Evening,"Magnitude_Moderate, DAVAO OCCIDENTAL",0.00014501817258975264,0.0005037624759925695,0.6107760191069911,-9.241448365923061e-05,0.9996788098158259
SURIGAO DEL NORTE,Magnitude_Moderate,0.00015408180837661218,0.0020943698410742883,0.576244186871739,-0.00011330797513352999,0.9984566194809311
"Time_Night, LOC_OTHER",Magnitude_Moderate,0.00016314544416347175,0.0017458777885548014,0.48036020520957556,-0.00017648602903962862,0.9981080567363029
